"p4","p5","p6_1","p6_2","p6_3","p6_4","p6_5","p6_6","p26","p32","p34_1","p34_2","p34_3","p34_4","p36_1","p36_2","p36_3","p36_4","factor","year"
2,4,2,1,1,2,2,2,30,NA,2,2,2,2,1,1,1,2,23536,2023
2,4,2,1,2,2,1,2,30,NA,2,1,2,1,1,1,1,1,34006,2023
NA,NA,NA,NA,NA,NA,NA,NA,15,NA,2,1,2,1,1,1,1,1,68014,2023
5,3,2,2,2,2,1,2,60,NA,2,1,1,1,1,2,2,1,12854,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,1,1,2,2,38852,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,NA,1,NA,NA,13318,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,2,1,1,1,1,16205,2023
NA,NA,NA,NA,NA,NA,NA,NA,15,NA,2,1,2,1,1,1,1,1,16001,2023
2,3,2,1,2,2,2,2,30,NA,1,1,1,1,NA,1,2,1,7988,2023
2,2,2,1,2,1,2,2,45,NA,1,1,2,1,1,1,1,2,26918,2023
NA,NA,NA,NA,NA,NA,NA,NA,40,NA,1,1,1,1,NA,1,1,1,22275,2023
2,4,2,2,2,1,2,2,25,NA,1,1,1,1,1,1,2,1,17997,2023
2,4,2,2,1,2,2,2,60,NA,2,2,2,2,NA,2,2,2,8690,2023
1,5,2,2,1,2,2,2,10,NA,1,1,1,1,1,1,1,1,30601,2023
1,4,2,2,2,1,2,2,30,NA,2,2,2,NA,1,NA,1,2,36657,2023
15,4,2,2,2,1,2,2,240,NA,1,1,1,1,2,2,2,1,19626,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,1,1,2,1,2,11532,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,1,1,1,1,6298,2023
2,4,2,2,2,1,1,2,30,NA,2,2,2,1,1,2,1,1,14953,2023
6,4,2,1,2,2,2,2,30,NA,1,1,1,1,2,1,1,2,19429,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,1,1,1,1,28344,2023
NA,NA,NA,NA,NA,NA,NA,NA,10,NA,2,2,1,1,1,1,2,2,35746,2023
2,4,2,2,2,2,1,2,20,NA,2,1,1,1,1,1,1,1,17648,2023
2,4,2,1,2,1,2,2,30,NA,2,1,2,1,1,2,1,2,21771,2023
3,3,2,1,2,1,2,2,30,NA,2,1,2,1,1,1,1,1,22063,2023
2,4,2,2,2,1,1,2,30,NA,2,1,2,1,2,2,2,2,40349,2023
1,4,2,2,1,2,2,2,25,NA,2,2,2,1,1,2,2,2,17015,2023
NA,NA,NA,NA,NA,NA,NA,NA,15,NA,2,1,2,2,2,1,2,2,14629,2023
3,4,2,2,1,2,2,2,25,NA,2,1,1,2,1,1,1,1,26740,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,2,2,1,1,1,14629,2023
2,4,1,2,2,1,2,2,60,NA,1,1,1,1,1,1,1,1,9561,2023
10,3,1,1,1,1,1,2,120,NA,1,1,2,1,1,1,1,1,18115,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,2,1,2,2,21704,2023
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,1,1,1,1,1,1,1,1,17384,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,1,1,1,1,1,12883,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,1,2,1,1,2,21106,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,2,2,2,2,NA,2,15677,2023
4,1,2,1,2,1,2,2,45,NA,1,1,1,1,1,1,2,1,10322,2023
1,4,2,2,2,1,2,2,30,NA,2,2,2,2,1,1,1,1,19110,2023
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,2,2,1,1,2,2,2,21491,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,1,2,2,2,37454,2023
1,4,2,2,2,1,2,2,30,NA,2,2,2,2,1,1,1,1,6370,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,2,1,2,1,1,1,20207,2023
1,3,2,2,1,2,2,2,20,NA,2,2,2,NA,2,1,2,2,18411,2023
1,3,2,2,2,1,2,2,30,NA,2,1,2,1,1,1,2,2,19465,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,2,1,1,1,1,1,7357,2023
2,4,2,2,2,1,2,2,40,NA,2,2,2,2,1,1,1,1,23439,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,1,1,1,1,28789,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,1,1,1,14394,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,2,2,2,2,2,2,5737,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,1,1,1,18756,2023
NA,NA,NA,NA,NA,NA,NA,NA,10,NA,2,1,2,1,1,1,1,1,18756,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,1,2,2,20205,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,2,1,1,1,1,2,14272,2023
1,4,2,2,1,2,2,2,30,NA,1,1,1,1,2,1,1,1,16922,2023
1,4,2,1,2,2,2,2,30,NA,2,2,2,2,2,NA,2,2,27759,2023
1,4,2,2,2,1,2,2,30,NA,2,1,2,1,1,1,1,1,24537,2023
2,4,2,2,2,1,1,2,35,NA,2,1,2,1,1,1,1,1,23677,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,2,2,2,1,2,1,1,32593,2023
NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,1,1,1,1,1,1,1,14003,2023
1,3,2,1,2,2,2,2,30,NA,2,2,2,2,1,1,1,1,14003,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,2,1,1,1,1,16603,2023
NA,NA,NA,NA,NA,NA,NA,NA,40,NA,2,1,1,2,2,1,2,2,30588,2023
3,4,2,2,2,1,1,2,60,NA,2,1,2,1,1,1,1,1,18904,2023
1,5,2,2,1,2,2,2,15,NA,2,2,2,2,2,1,2,2,22146,2023
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,2,2,2,2,1,2,1,35033,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,NA,1,1,2,19497,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,1,1,1,1,1,15517,2023
1,3,2,2,2,2,1,2,40,NA,1,1,1,1,1,1,1,1,28365,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,1,1,1,14294,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,2,1,1,2,2,22114,2023
2,4,2,2,1,2,2,2,40,NA,2,2,2,2,1,1,1,1,18813,2023
1,3,2,2,1,2,2,2,20,NA,1,2,2,1,2,2,2,2,18813,2023
3,3,2,2,1,1,2,2,15,NA,2,2,2,2,2,1,2,2,28220,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,2,1,1,1,1,1,36023,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,1,2,1,2,14870,2023
10,3,2,1,2,1,2,2,25,NA,2,1,1,1,2,1,2,2,18371,2023
1,3,2,2,2,2,1,2,30,NA,2,1,2,1,1,1,1,1,18371,2023
15,1,2,1,2,2,2,1,120,NA,2,2,2,2,2,2,2,2,39313,2023
3,3,2,2,2,1,1,2,60,NA,2,1,2,1,1,1,1,1,18107,2023
10,1,2,1,2,2,1,2,180,NA,2,1,1,1,1,1,1,1,8289,2023
2,3,2,2,2,1,1,2,35,NA,1,1,1,1,1,1,1,1,45096,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,2,2,2,2,15974,2023
4,1,2,1,2,2,2,2,35,NA,1,1,1,1,1,1,1,1,28127,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,1,1,1,1,6656,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,1,2,1,22456,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,2,1,2,2,7183,2023
3,4,2,2,2,2,1,2,25,NA,2,2,2,2,1,1,1,1,24650,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,1,2,2,29550,2023
1,3,2,2,2,2,1,2,30,NA,2,1,2,NA,2,1,2,2,10159,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,1,1,1,1,1,1,1,19700,2023
2,4,2,1,2,2,1,2,90,NA,2,1,2,1,1,1,1,2,24480,2023
3,4,2,1,2,2,1,2,30,NA,2,1,2,1,NA,1,1,NA,27212,2023
1,3,2,2,2,1,2,2,30,NA,2,2,2,1,2,2,2,2,18141,2023
3,2,2,1,2,2,2,2,240,NA,2,1,2,1,1,1,1,1,20436,2023
1,5,2,2,1,2,2,2,30,NA,2,2,2,2,2,2,2,2,10556,2023
NA,NA,NA,NA,NA,NA,NA,NA,10,NA,2,2,2,2,1,1,1,1,11529,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,1,1,2,2,47562,2023
8,4,2,1,1,1,2,2,120,NA,1,1,1,1,1,1,1,2,18279,2023
3,4,2,2,2,1,2,2,30,NA,1,1,2,1,2,1,NA,1,18279,2023
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,1,1,2,1,1,1,1,1,22624,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,1,2,1,2,2,6966,2023
3,2,2,1,2,1,1,2,20,NA,2,1,2,1,1,1,1,1,44806,2023
3,4,2,2,2,2,1,2,45,NA,2,2,2,2,2,1,2,2,22061,2023
1,4,2,2,2,1,2,2,20,NA,2,1,1,1,2,1,1,2,15871,2023
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,2,2,2,1,1,1,1,13979,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,1,1,1,1,1,10926,2023
NA,NA,NA,NA,NA,NA,NA,NA,15,NA,2,2,2,2,NA,NA,1,1,20968,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18583,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,2,1,1,1,1,9291,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,1,2,2,16360,2023
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,2,2,2,2,1,2,2,39196,2023
3,2,2,1,2,1,2,2,60,NA,2,1,1,1,1,2,1,2,20023,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,2,1,2,1,1,1,28409,2023
NA,NA,NA,NA,NA,NA,NA,NA,15,NA,2,1,NA,1,1,1,1,1,15136,2023
2,3,2,2,2,2,1,2,30,NA,1,1,1,1,1,1,1,1,19322,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,2,2,2,21106,2023
NA,NA,NA,NA,NA,NA,NA,NA,10,NA,2,1,1,1,1,1,2,2,29024,2023
12,4,2,2,2,2,1,2,30,NA,2,1,2,1,1,1,1,1,16705,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,1,1,1,1,1,15274,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,2,2,2,2,19888,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,1,1,1,1,NA,22969,2023
2,3,2,2,2,2,1,2,20,NA,1,1,1,1,1,1,1,1,12124,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,1,1,1,1,1,15971,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,2,2,2,2,18710,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,2,2,1,1,1,42254,2023
NA,NA,NA,NA,NA,NA,NA,NA,15,NA,1,1,2,1,1,1,1,1,19832,2023
2,4,2,2,2,1,1,2,30,NA,2,1,1,1,1,1,1,1,21192,2023
6,4,2,1,2,1,1,2,90,NA,2,1,2,1,1,1,1,1,9654,2023
2,3,2,1,2,2,2,2,30,NA,1,1,1,1,1,1,1,1,19065,2023
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,2,2,2,2,1,2,2,41935,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,2,2,2,18191,2023
5,3,1,1,2,2,2,2,120,NA,2,1,2,1,2,2,2,2,20703,2023
1,4,2,2,2,1,2,2,30,NA,2,2,2,2,2,1,1,2,6712,2023
2,4,2,2,2,1,2,2,20,NA,1,2,2,1,2,1,1,1,29324,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,1,2,1,1,2,21993,2023
1,5,2,2,2,1,2,2,20,NA,2,2,2,2,2,1,2,2,34352,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,1,1,1,1,1,34746,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,2,2,1,1,2,24677,2023
2,4,2,1,1,2,2,2,30,NA,2,1,2,1,1,1,1,1,13476,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,2,2,NA,1,2,2,10586,2023
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,2,2,2,2,NA,2,2,10729,2023
12,4,2,2,1,2,2,2,120,NA,1,1,1,1,2,2,1,1,16548,2023
8,4,2,2,2,1,1,2,60,NA,2,2,2,2,2,1,2,2,10586,2023
1,3,2,2,2,1,2,2,30,NA,2,1,1,1,1,1,1,1,29273,2023
3,4,2,2,2,1,1,2,30,NA,2,1,1,1,1,1,1,1,17585,2023
1,4,2,2,2,1,2,2,20,NA,2,1,1,2,1,1,1,1,27254,2023
3,1,2,2,1,2,2,2,60,NA,1,2,1,1,1,1,1,1,6970,2023
1,4,2,2,2,2,1,2,20,NA,2,1,1,1,1,1,2,2,24826,2023
NA,NA,NA,NA,NA,NA,NA,NA,15,NA,2,2,2,2,1,2,2,2,46104,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,1,2,1,2,6382,2023
2,4,2,2,2,1,2,2,60,NA,2,1,2,1,2,1,1,2,54250,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,2,1,1,1,1,21421,2023
3,2,2,1,2,2,2,2,180,NA,1,1,1,1,1,1,1,1,23341,2023
5,4,2,2,1,2,2,2,120,NA,1,1,1,1,1,1,1,1,9143,2023
3,4,2,2,2,1,2,2,20,NA,2,2,1,1,1,1,1,2,17308,2023
2,4,2,2,2,1,2,2,30,NA,2,2,1,1,1,1,1,1,25961,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,2,1,1,1,1,17308,2023
1,4,1,2,2,2,2,2,30,NA,2,1,1,2,1,1,1,1,23915,2023
2,3,2,2,1,2,1,2,30,NA,1,1,2,2,1,1,1,1,33283,2023
1,3,2,2,2,1,2,2,30,NA,2,1,2,1,1,1,1,2,42690,2023
1,4,2,2,2,1,2,2,20,NA,2,1,2,1,1,1,1,1,17516,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,1,1,1,1,1,24963,2023
2,4,2,2,2,2,1,2,60,NA,1,1,1,1,1,1,1,1,15840,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,1,1,1,1,2,13651,2023
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,1,1,NA,NA,2,2,2,2,19455,2023
2,4,2,2,2,1,1,2,40,NA,1,1,NA,NA,2,2,2,2,24079,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,NA,1,2,NA,NA,14731,2023
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,1,1,1,1,1,1,2,16464,2023
1,4,2,2,2,2,1,2,20,NA,2,1,1,1,1,1,2,2,16464,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,NA,2,2,2,NA,48401,2023
NA,NA,NA,NA,NA,NA,NA,NA,40,NA,1,1,1,1,1,1,1,1,37956,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,NA,2,2,2,NA,6168,2023
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,1,1,1,1,1,1,2,17199,2023
NA,NA,NA,NA,NA,NA,NA,NA,40,NA,1,1,1,1,1,1,1,1,13474,2023
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,1,2,2,1,1,1,1,32557,2023
1,4,2,2,2,1,2,2,20,NA,2,2,2,2,2,1,1,2,15130,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,2,2,1,1,1,6433,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,2,1,1,2,2,7187,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6728,2023
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,1,1,1,1,1,1,1,1,14192,2023
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,1,1,1,1,1,1,1,1,41631,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,1,2,1,1,1,1,55508,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,1,1,1,1,1,27754,2023
2,4,2,2,2,1,2,2,30,NA,2,1,1,2,2,1,1,2,30923,2023
2,5,2,2,1,2,2,2,40,NA,1,1,1,1,1,1,1,1,13057,2023
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,2,2,2,1,1,2,2,28560,2023
5,4,2,2,2,2,1,2,60,NA,2,1,1,1,NA,NA,1,1,21967,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,1,1,1,2,31216,2023
NA,NA,NA,NA,NA,NA,NA,NA,25,NA,2,2,2,1,2,2,1,1,31216,2023
3,3,2,1,2,1,2,2,40,NA,1,2,1,1,1,1,1,1,14644,2023
NA,NA,NA,NA,NA,NA,NA,NA,10,NA,2,2,2,2,2,2,2,2,44878,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,1,1,1,1,1,28342,2023
1,4,2,2,1,2,2,2,30,NA,1,1,1,1,1,1,1,2,13780,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,2,NA,2,1,1,2,2,25234,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,1,1,1,1,2,29054,2023
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,1,1,1,1,1,1,1,1,16940,2023
1,4,2,2,2,1,2,2,60,NA,1,1,1,1,1,1,1,1,17517,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,1,2,2,2,2,18903,2023
1,4,2,2,2,1,2,2,20,NA,2,1,1,1,1,1,1,1,27678,2023
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,2,1,1,1,1,25912,2023
1,3,2,2,2,2,1,2,20,NA,2,1,2,2,1,1,1,1,22813,2023
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,2,1,2,1,2,2,2,2,28186,2023
3,4,2,1,2,1,1,2,20,NA,1,1,1,1,1,1,1,1,50711,2023
1,2,2,2,2,2,1,2,20,NA,2,1,1,2,1,1,1,1,27150,2023
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,2,1,2,1,1,2,2,2,43984,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,NA,1,2,1,2,19523,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,2,1,1,2,2,23147,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,21323,2023
1,4,2,2,2,2,1,2,20,NA,2,2,2,2,1,1,1,1,42857,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,1,2,2,2,2,40682,2023
1,4,2,2,2,2,1,2,30,NA,2,1,2,2,1,1,1,2,24737,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,2,2,2,2,1,2,1,10430,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,1,1,2,1,2,9571,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,1,1,1,1,1,1,47855,2023
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,2,2,2,1,1,1,1,16340,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,2,1,1,1,1,10424,2023
1,4,2,1,2,2,2,2,30,NA,1,1,1,1,2,2,2,2,25268,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,1,1,1,2,11840,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,1,2,15590,2023
8,3,2,2,1,2,2,2,60,NA,2,2,1,1,1,1,1,1,38568,2023
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,1,2,1,2,1,2,2,26545,2023
1,1,1,2,2,2,2,2,30,NA,2,2,1,1,1,1,1,1,37805,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8967,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,2,2,1,1,1,1,11022,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,1,2,2,2,2,2,19087,2023
NA,NA,NA,NA,NA,NA,NA,NA,60,NA,1,1,1,1,1,1,1,1,11054,2023
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,2,2,NA,1,1,1,1,16077,2023
2,4,2,2,2,1,1,2,30,NA,2,2,2,1,1,1,1,1,25516,2023
NA,NA,NA,NA,NA,NA,NA,NA,10,NA,2,2,2,2,1,1,2,2,23889,2023
3,1,1,2,2,2,2,2,30,NA,1,1,1,1,1,1,1,1,25194,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,2,1,1,7379,2023
NA,NA,NA,NA,NA,NA,NA,NA,40,NA,1,1,1,1,1,1,1,1,27251,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9970,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,NA,2,2,2,NA,16846,2023
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,1,1,1,1,1,1,2,19940,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,1,1,1,8318,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,1,2,2,14433,2023
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,2,2,1,1,1,1,1,16426,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,2,1,1,2,31569,2023
2,4,2,2,2,2,1,2,10,NA,1,2,2,1,1,1,1,1,35682,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,2,2,2,8472,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,2,2,17612,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,14576,2023
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,1,1,1,2,2,2,2,2,14287,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,1,2,1,2,2,29151,2023
6,4,2,2,1,2,2,2,30,NA,1,2,2,1,2,1,1,1,31432,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,2,2,54539,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,1,1,1,1,1,18179,2023
NA,NA,NA,NA,NA,NA,NA,NA,20,NA,2,1,1,1,1,1,1,2,39236,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,22723,2023
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,1,1,1,1,1,30297,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,1,1,1,1,1,16546,2023
5,1,2,1,2,2,2,2,20,NA,NA,2,2,1,1,2,2,1,26941,2023
4,4,2,2,2,1,2,2,30,NA,2,1,1,1,1,1,1,1,27206,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,1,1,2,4036,2023
3,4,2,2,1,2,1,2,30,NA,2,1,1,1,1,1,1,1,13227,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,1,1,2,2,12151,2023
NA,NA,NA,NA,NA,NA,NA,NA,40,NA,1,1,2,1,1,1,1,1,14407,2023
5,1,2,1,2,2,2,2,20,NA,2,2,2,2,2,2,2,2,13272,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,NA,1,2,2,2,6844,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15048,2023
35,3,2,1,2,2,2,2,60,NA,2,2,2,2,2,2,2,2,8546,2023
1,4,2,2,2,1,2,2,30,NA,2,2,1,1,1,1,1,1,7919,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,2,2,1,15839,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,2,2,2,2,29485,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,2,2,2,2,19657,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,1,1,1,1,42270,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,2,2,2,2,2,2,15159,2023
1,4,2,2,2,1,2,2,60,NA,2,1,2,1,1,1,1,1,64994,2023
1,4,2,2,2,1,2,2,40,NA,2,2,2,2,2,2,2,2,34998,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10134,2023
2,3,2,2,2,1,2,2,60,NA,1,2,2,1,1,2,1,1,20269,2023
2,3,1,2,2,2,2,2,60,NA,1,2,2,1,1,1,1,1,10013,2023
1,1,2,1,2,2,2,2,120,NA,1,1,1,1,1,1,1,1,16560,2023
1,4,2,2,2,1,2,2,40,NA,1,1,1,1,1,1,1,1,66238,2023
1,1,2,1,2,2,2,2,120,NA,2,2,2,2,1,1,1,1,28687,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12827,2023
6,4,2,2,2,1,2,2,60,NA,1,1,1,1,2,1,2,1,7005,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,1,1,2,2,21613,2023
2,2,2,1,2,2,2,2,120,NA,1,1,1,1,1,1,1,1,54031,2023
1,4,2,2,2,1,2,2,30,NA,1,2,2,1,1,1,1,1,12499,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,14983,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,2,2,2,2,2,17788,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,1,1,1,2,2,15453,2023
NA,NA,NA,NA,NA,NA,NA,NA,30,NA,2,1,2,2,2,2,2,2,20577,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,1,1,1,1,9453,2023
NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,1,1,1,34405,2023
1,2,2,1,2,2,2,2,120,NA,1,1,1,1,1,1,1,1,56553,2023
